suffixed,base,country_code,status,resolves_to_today,suffixed_resolves_to_today
Aarhus (DEN),Aarhus,DEN,NEW_CANONICAL_NEEDED,Aarhus,Aarhus (DEN)
AC Milan (ITA),AC Milan,ITA,ALREADY_CANONICAL,AC Milan,AC Milan (ITA)
AC Sparta Praha (CZE),AC Sparta Praha,CZE,ALREADY_CANONICAL,AC Sparta Praha,AC Sparta Praha (CZE)
Ajax (NED),Ajax,NED,ALREADY_CANONICAL,Ajax,Ajax (NED)
Anderlecht (BEL),Anderlecht,BEL,NEW_CANONICAL_NEEDED,Anderlecht,Anderlecht (BEL)
Apollon (CYP),Apollon,CYP,NEW_CANONICAL_NEEDED,Apollon,Apollon (CYP)
Ararat-Armenia (ARM),Ararat-Armenia,ARM,NEW_CANONICAL_NEEDED,Ararat-Armenia,Ararat-Armenia (ARM)
Atalanta (ITA),Atalanta,ITA,ALREADY_CANONICAL,Atalanta,Atalanta (ITA)
Austria Vienna (AUT),Austria Vienna,AUT,NEW_CANONICAL_NEEDED,Austria Vienna,Austria Vienna (AUT)
Benfica (POR),Benfica,POR,ALREADY_CANONICAL,Benfica,Benfica (POR)
Besiktas (TUR),Besiktas,TUR,ALREADY_CANONICAL,Besiktas,Besiktas (TUR)
Bodo/Glimt (NOR),Bodo/Glimt,NOR,ALREADY_CANONICAL,Bodo/Glimt,Bodo/Glimt (NOR)
Bohemians (IRL),Bohemians,IRL,NEW_CANONICAL_NEEDED,Bohemians,Bohemians (IRL)
Borussia Dortmund (GER),Borussia Dortmund,GER,ALREADY_CANONICAL,Borussia Dortmund,Borussia Dortmund (GER)
Braga (POR),Braga,POR,ALREADY_CANONICAL,Braga,Braga (POR)
Brann (NOR),Brann,NOR,NEW_CANONICAL_NEEDED,Brann,Brann (NOR)
Brighton (ENG),Brighton,ENG,ALREADY_CANONICAL,Brighton,Brighton (ENG)
Celje (SLO),Celje,SLO,NEW_CANONICAL_NEEDED,Celje,Celje (SLO)
Celtic (SCO),Celtic,SCO,ALREADY_CANONICAL,Celtic,Celtic (SCO)
CFR Cluj (ROU),CFR Cluj,ROU,ALREADY_CANONICAL,CFR Cluj,CFR Cluj (ROU)
CSKA Sofia (BUL),CSKA Sofia,BUL,NEW_CANONICAL_NEEDED,CSKA Sofia,CSKA Sofia (BUL)
Derry City (NIR),Derry City,NIR,NEW_CANONICAL_NEEDED,Derry City,Derry City (NIR)
Din. Zagreb (CRO),Din. Zagreb,CRO,NEW_CANONICAL_NEEDED,Din. Zagreb,Din. Zagreb (CRO)
FC Barcelona (ESP),FC Barcelona,ESP,ALREADY_CANONICAL,FC Barcelona,FC Barcelona (ESP)
FC Copenhagen (DEN),FC Copenhagen,DEN,ALREADY_CANONICAL,FC Copenhagen,FC Copenhagen (DEN)
Fenerbahce (TUR),Fenerbahce,TUR,ALREADY_CANONICAL,Fenerbahce,Fenerbahce (TUR)
Ferencvaros (HUN),Ferencvaros,HUN,ALREADY_CANONICAL,Ferencvaros,Ferencvaros (HUN)
Freiburg (GER),Freiburg,GER,ALREADY_CANONICAL,Freiburg,Freiburg (GER)
Gent (BEL),Gent,BEL,NEW_CANONICAL_NEEDED,Gent,Gent (BEL)
Girona FC (ESP),Girona FC,ESP,ALREADY_CANONICAL,Girona FC,Girona FC (ESP)
GKS Katowice (POL),GKS Katowice,POL,NEW_CANONICAL_NEEDED,GKS Katowice,GKS Katowice (POL)
Gornik Zabrze (POL),Gornik Zabrze,POL,NEW_CANONICAL_NEEDED,Gornik Zabrze,Gornik Zabrze (POL)
Goteborg (SWE),Goteborg,SWE,NEW_CANONICAL_NEEDED,Goteborg,Goteborg (SWE)
Hajduk Split (CRO),Hajduk Split,CRO,NEW_CANONICAL_NEEDED,Hajduk Split,Hajduk Split (CRO)
Hammarby (SWE),Hammarby,SWE,NEW_CANONICAL_NEEDED,Hammarby,Hammarby (SWE)
Hearts (SCO),Hearts,SCO,NEW_CANONICAL_NEEDED,Hearts,Hearts (SCO)
Hibernian (SCO),Hibernian,SCO,NEW_CANONICAL_NEEDED,Hibernian,Hibernian (SCO)
HJK (FIN),HJK,FIN,NEW_CANONICAL_NEEDED,HJK,HJK (FIN)
Ilves (FIN),Ilves,FIN,NEW_CANONICAL_NEEDED,Ilves,Ilves (FIN)
Inter Turku (FIN),Inter Turku,FIN,NEW_CANONICAL_NEEDED,Inter Turku,Inter Turku (FIN)
Jagiellonia (POL),Jagiellonia,POL,NEW_CANONICAL_NEEDED,Jagiellonia,Jagiellonia (POL)
Kairat Almaty (KAZ),Kairat Almaty,KAZ,ALREADY_CANONICAL,Kairat Almaty,Kairat Almaty (KAZ)
KuPS (FIN),KuPS,FIN,NEW_CANONICAL_NEEDED,KuPS,KuPS (FIN)
LASK (AUT),LASK,AUT,NEW_CANONICAL_NEEDED,LASK,LASK (AUT)
Lech Poznan (POL),Lech Poznan,POL,NEW_CANONICAL_NEEDED,Lech Poznan,Lech Poznan (POL)
Lillestrom (NOR),Lillestrom,NOR,NEW_CANONICAL_NEEDED,Lillestrom,Lillestrom (NOR)
Lincoln Red Imps (GIB),Lincoln Red Imps,GIB,NEW_CANONICAL_NEEDED,Lincoln Red Imps,Lincoln Red Imps (GIB)
Ludogorets (BUL),Ludogorets,BUL,ALREADY_CANONICAL,Ludogorets,Ludogorets (BUL)
Lugano (SUI),Lugano,SUI,NEW_CANONICAL_NEEDED,Lugano,Lugano (SUI)
Lyon (FRA),Lyon,FRA,ALREADY_CANONICAL,Lyon,Lyon (FRA)
Maccabi Tel Aviv (ISR),Maccabi Tel Aviv,ISR,NEW_CANONICAL_NEEDED,Maccabi Tel Aviv,Maccabi Tel Aviv (ISR)
Midtjylland (DEN),Midtjylland,DEN,ALREADY_CANONICAL,Midtjylland,Midtjylland (DEN)
Mjallby (SWE),Mjallby,SWE,NEW_CANONICAL_NEEDED,Mjallby,Mjallby (SWE)
Monaco (FRA),Monaco,FRA,ALREADY_CANONICAL,Monaco,Monaco (FRA)
Motherwell (SCO),Motherwell,SCO,NEW_CANONICAL_NEEDED,Motherwell,Motherwell (SCO)
Nijmegen (NED),Nijmegen,NED,NEW_CANONICAL_NEEDED,Nijmegen,Nijmegen (NED)
Nordsjaelland (DEN),Nordsjaelland,DEN,NEW_CANONICAL_NEEDED,Nordsjaelland,Nordsjaelland (DEN)
