suffixed,base,country_code
Aarhus (DEN),Aarhus,DEN
AC Milan (ITA),AC Milan,ITA
AC Sparta Praha (CZE),AC Sparta Praha,CZE
Ajax (NED),Ajax,NED
Anderlecht (BEL),Anderlecht,BEL
Apollon (CYP),Apollon,CYP
Ararat-Armenia (ARM),Ararat-Armenia,ARM
Atalanta (ITA),Atalanta,ITA
Austria Vienna (AUT),Austria Vienna,AUT
Benfica (POR),Benfica,POR
Besiktas (TUR),Besiktas,TUR
Bodo/Glimt (NOR),Bodo/Glimt,NOR
Bohemians (IRL),Bohemians,IRL
Borussia Dortmund (GER),Borussia Dortmund,GER
Braga (POR),Braga,POR
Brann (NOR),Brann,NOR
Brighton (ENG),Brighton,ENG
Celje (SLO),Celje,SLO
Celtic (SCO),Celtic,SCO
CFR Cluj (ROU),CFR Cluj,ROU
CSKA Sofia (BUL),CSKA Sofia,BUL
Derry City (NIR),Derry City,NIR
Din. Zagreb (CRO),Din. Zagreb,CRO
FC Barcelona (ESP),FC Barcelona,ESP
FC Copenhagen (DEN),FC Copenhagen,DEN
Fenerbahce (TUR),Fenerbahce,TUR
Ferencvaros (HUN),Ferencvaros,HUN
Freiburg (GER),Freiburg,GER
Gent (BEL),Gent,BEL
Girona FC (ESP),Girona FC,ESP
GKS Katowice (POL),GKS Katowice,POL
Gornik Zabrze (POL),Gornik Zabrze,POL
Goteborg (SWE),Goteborg,SWE
Hajduk Split (CRO),Hajduk Split,CRO
Hammarby (SWE),Hammarby,SWE
Hearts (SCO),Hearts,SCO
Hibernian (SCO),Hibernian,SCO
HJK (FIN),HJK,FIN
Ilves (FIN),Ilves,FIN
Inter Turku (FIN),Inter Turku,FIN
Jagiellonia (POL),Jagiellonia,POL
Kairat Almaty (KAZ),Kairat Almaty,KAZ
KuPS (FIN),KuPS,FIN
LASK (AUT),LASK,AUT
Lech Poznan (POL),Lech Poznan,POL
Lillestrom (NOR),Lillestrom,NOR
Lincoln Red Imps (GIB),Lincoln Red Imps,GIB
Ludogorets (BUL),Ludogorets,BUL
Lugano (SUI),Lugano,SUI
Lyon (FRA),Lyon,FRA
Maccabi Tel Aviv (ISR),Maccabi Tel Aviv,ISR
Midtjylland (DEN),Midtjylland,DEN
Mjallby (SWE),Mjallby,SWE
Monaco (FRA),Monaco,FRA
Motherwell (SCO),Motherwell,SCO
Nijmegen (NED),Nijmegen,NED
Nordsjaelland (DEN),Nordsjaelland,DEN
OFI Crete (GRE),OFI Crete,GRE
Panathinaikos (GRE),Panathinaikos,GRE
PAOK (GRE),PAOK,GRE
PSV (NED),PSV,NED
Qarabag (AZE),Qarabag,AZE
Rakow (POL),Rakow,POL
Rangers (SCO),Rangers,SCO
RB Leipzig (GER),RB Leipzig,GER
Rijeka (CRO),Rijeka,CRO
Royale Union SG (BEL),Royale Union SG,BEL
Sabah Baku (AZE),Sabah Baku,AZE
Salzburg (AUT),Salzburg,AUT
Shamrock Rovers (IRL),Shamrock Rovers,IRL
Shelbourne (IRL),Shelbourne,IRL
Sheriff Tiraspol (MDA),Sheriff Tiraspol,MDA
Sion (SUI),Sion,SUI
SK Rapid (AUT),SK Rapid,AUT
Slovan Bratislava (SVK),Slovan Bratislava,SVK
St. Gallen (SUI),St. Gallen,SUI
St. Truiden (BEL),St. Truiden,BEL
Sturm Graz (AUT),Sturm Graz,AUT
Thun (SUI),Thun,SUI
Trabzonspor (TUR),Trabzonspor,TUR
Tromso (NOR),Tromso,NOR
Twente (NED),Twente,NED
Vaduz (LIE),Vaduz,LIE
VfB Stuttgart (GER),VfB Stuttgart,GER
Viking (NOR),Viking,NOR
