raw_name,canonical_name,match_count,category,in_team_aliases_py,is_dominant_variant,team_total_matches,team_impact_matches
Ath Madrid,Atletico Madrid,153,alias,yes,yes,313,160
Club Atlético de Madrid,Atletico Madrid,150,alias,yes,no,313,160
Atletico Madrid,Atletico Madrid,10,alias,yes,no,313,160
Inter,Inter Milan,152,alias,yes,yes,307,155
FC Internazionale Milano,Inter Milan,147,alias,yes,no,307,155
Inter Milan,Inter Milan,8,alias,yes,no,307,155
Real Madrid,Real Madrid,165,alias,yes,yes,320,155
Real Madrid CF,Real Madrid,155,alias,yes,no,320,155
Arsenal,Arsenal,156,alias,yes,yes,309,153
Arsenal FC,Arsenal,153,alias,yes,no,309,153
Paris Saint-Germain,Paris Saint-Germain,158,alias,yes,yes,306,148
Paris Saint-Germain FC,Paris Saint-Germain,148,alias,yes,no,306,148
Manchester City,Manchester City,168,alias,yes,yes,312,144
Manchester City FC,Manchester City,144,alias,yes,no,312,144
Bayern Munich,Bayern Munich,149,alias,yes,yes,291,142
FC Bayern München,Bayern Munich,142,alias,yes,no,291,142
Atalanta,Atalanta,164,alias,yes,yes,300,136
Atalanta BC,Atalanta,136,alias,yes,no,300,136
Liverpool,Liverpool,169,alias,yes,yes,305,136
Liverpool FC,Liverpool,136,alias,yes,no,305,136
Juventus,Juventus,160,alias,yes,yes,294,134
Juventus FC,Juventus,134,alias,yes,no,294,134
Newcastle United,Newcastle United,156,alias,yes,yes,288,132
Newcastle United FC,Newcastle United,132,alias,yes,no,288,132
Napoli,Napoli,160,alias,yes,yes,290,130
SSC Napoli,Napoli,130,alias,yes,no,290,130
Sociedad,Real Sociedad,152,alias,yes,yes,282,130
Real Sociedad de Fútbol,Real Sociedad,122,alias,yes,no,282,130
Real Sociedad,Real Sociedad,8,alias,yes,no,282,130
Aston Villa,Aston Villa,155,alias,yes,yes,281,126
Aston Villa FC,Aston Villa,126,alias,yes,no,281,126
Bayer Leverkusen,Bayer Leverkusen,147,alias,yes,yes,271,124
Bayer 04 Leverkusen,Bayer Leverkusen,124,alias,yes,no,271,124
Chelsea,Chelsea,166,alias,yes,yes,290,124
Chelsea FC,Chelsea,124,alias,yes,no,290,124
Tottenham Hotspur,Tottenham Hotspur,156,alias,yes,yes,280,124
Tottenham Hotspur FC,Tottenham Hotspur,124,alias,yes,no,280,124
Ein Frankfurt,Eintracht Frankfurt,139,alias,yes,yes,262,123
Eintracht Frankfurt,Eintracht Frankfurt,123,alias,yes,no,262,123
Ath Bilbao,Athletic Club,152,alias,yes,yes,274,122
Athletic Club,Athletic Club,122,alias,yes,no,274,122
Bologna,Bologna,152,alias,yes,yes,274,122
Bologna FC 1909,Bologna,122,alias,yes,no,274,122
Girona,Girona FC,156,alias,yes,yes,278,122
Girona FC,Girona FC,122,alias,yes,no,278,122
Lazio,Lazio,160,alias,yes,yes,282,122
SS Lazio,Lazio,122,alias,yes,no,282,122
Monaco,Monaco,158,alias,yes,yes,280,122
AS Monaco FC,Monaco,122,alias,yes,no,280,122
Villarreal,Villarreal,164,alias,yes,yes,286,122
Villarreal CF,Villarreal,122,alias,yes,no,286,122
MGladbach,Borussia Monchengladbach,120,alias,yes,yes,241,121
Borussia Mönchengladbach,Borussia Monchengladbach,102,alias,yes,no,241,121
M'gladbach,Borussia Monchengladbach,19,alias,yes,no,241,121
Manchester United,Manchester United,164,alias,yes,yes,284,120
Manchester United FC,Manchester United,120,alias,yes,no,284,120
Sevilla,Sevilla,163,alias,yes,yes,283,120
Sevilla FC,Sevilla,120,alias,yes,no,283,120
Bournemouth,AFC Bournemouth,164,alias,yes,yes,278,114
AFC Bournemouth,AFC Bournemouth,114,alias,yes,no,278,114
Betis,Betis,163,alias,yes,yes,277,114
Real Betis Balompié,Betis,114,alias,yes,no,277,114
Brentford,Brentford,157,alias,yes,yes,271,114
Brentford FC,Brentford,114,alias,yes,no,271,114
Brighton,Brighton,152,alias,yes,yes,266,114
Brighton & Hove Albion FC,Brighton,114,alias,yes,no,266,114
Osasuna,CA Osasuna,152,alias,yes,yes,266,114
